Key,Value
SHOW_TSS_FULL_ORDER,CTL AUTO FULL ORDERING
SHOW_TSS_FULL_ORDER2,FREEMAN TEST PROJECT (WORKSHOP) - JAN. 2014
SHOW_TSS_NON_FULL_ORDER_PDM,CTL AUTO FULL ORDERING
SHOW_TSS_NON_FULL_ORDER_PDM_WITH_ID,CTL AUTO FULL ORDERING (100387)
SHOW_TSS_NON_FULL_ORDER_PDM_WITH_ID2,CTL AUTO FULL ORDERING - 100387
SHOW_TSS_NON_FULL_ORDER_PDM_WITH_ID3,CTL AUTO FULL ORDERING - 100653
SHOW_TSS_NON_FULL_ORDER,CTL AUTO NON FULL ORDERING
SHOW_INTERNAL_NON_FULL_ORDER,CTL AUTO INTERNAL PROJECT
SHOW_EXTERNAL_NON_FULL_ORDER,CTL AUTO EXTERNAL PROJECT
SHOW_SFDC_NON_FULL_ORDER,CTL AUTO OPPORTUNITY
SHOW_BRANCH_TEMPLATE,CTL AUTO TEST BRANCH
SHOW_CAMPAIGN_SALES_FORCE,CTL AUTO CAMPAIGN
FREEMAN_PROJECT_NUMBER_SHOW_TSS_FULL_ORDER,100387
ACCOUNT_EXPO_TSS_FULL_ORDER,REED EXHIBITIONS NA-100839 (Expo)
ACCOUNT_EXPO1_TSS_FULL_ORDER,SNOWBALL FOODS-489952 (Expo)
ACCOUNT_EXPO_TSS_NON_FULL_ORDER_PDM,NORTHSTAR-536501 (Expo)
ACCOUNT_EXHIBIT_TSS_FULL_ORDER,FREEMAN LAS VEGAS-346382 (Exhibit)
ACCOUNT_EXHIBIT_TSS_NON_FULL_ORDER,FREEMAN LAS VEGAS-346382 (Exhibit)
ACCOUNT_EXPO_NON_FULL_ORDER,FREEMAN WASHINGTON-505989 (Expo)
ACCOUNT_EXPO_INTERNAL_NON_FULL_ORDER,FREEMAN HOUSTON-100378 (Expo)
ACCOUNT_EXPO_INTERNAL_NON_FULL_ORDER1,FREEMAN HOUSTON-100378 (Expo)
ACCOUNT_EXPO_INTERNAL_NON_FULL_ORDER2,REED EXHIBITIONS NA-100839 (Expo)
